Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
CSLPRE-124,SUMMARY REDACTED,Open,CSLP_Radar Enhancements,233,0,,CSL_R8,ALPS,3000,,0
ORTS-37410,SUMMARY REDACTED,Open,CSL_ORTS,20,22,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Product,1
ORTS-34701,SUMMARY REDACTED,Open,CSL_ORTS,20,20,,"CSL_R8, Build 3 ALPS, CSL_R8_InCapacity",ALPS,3000,Team,2
ORTS-37435,SUMMARY REDACTED,Open,CSL_ORTS,13,13,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Product,1
ORTS-38284,SUMMARY REDACTED,Open,CSL_ORTS,13,13,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Team,2
CSLSPY-94638,SUMMARY REDACTED,Open,CSL_SPY,60,43,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Product,1
CSLSPY-96592,SUMMARY REDACTED,Open,CSL_SPY,60,60,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Team,2
AFMSCSLSPY-5885,SUMMARY REDACTED,Open,AFMS_CSL_SPY,85,85,0,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,,1
CSLADS-55811,SUMMARY REDACTED,Open,CSL_ADS,55,7,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Product,1
AFMSCSLADS-7878,SUMMARY REDACTED,Open,AFMS_CSL_ADS,50,50,,"CSL_R8, CSL_R8_InCapacity",IRAD,3000,,2
CSLADS-56133,SUMMARY REDACTED,Open,CSL_ADS,2,2,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Team,2
CSLADS-56134,SUMMARY REDACTED,Open,CSL_ADS,3,3,,"CSL_R8, CSL_R8_InCapacity",ALPS,3000,Team,2
CSLPRE-112,SUMMARY REDACTED,Open,CSLP_Radar Enhancements,45,,,CSL_R8,ACE,2995,,0
CSLSPY-93993,SUMMARY REDACTED,Open,CSL_SPY,20,150,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Product,1
CSLSPY-95975,SUMMARY REDACTED,Open,CSL_SPY,20,20,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Team,2
AFMSCSLSPY-5789,SUMMARY REDACTED,Open,AFMS_CSL_SPY,12,12,0,"CSL_R8, CSL_R8_InCapacity",ACE,2995,,1
CSLCND-53832,SUMMARY REDACTED,Open,CSL_CND,2,4,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Product,1
CSLCND-54757,SUMMARY REDACTED,Open,CSL_CND,2,1,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Team,2
CSLADS-55646,SUMMARY REDACTED,Open,CSL_ADS,3,3,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Product,1
CSLADS-56398,SUMMARY REDACTED,Open,CSL_ADS,3,3,,"CSL_R8, CSL_R8_InCapacity",ACE,2995,Team,2
CSLSYSINTT-13047,SUMMARY REDACTED,Open,CSL_SysIntTest,8,8,,CSL_R8,ACE,2995,Product,1
CSLPRE-123,SUMMARY REDACTED,Open,CSLP_Radar Enhancements,16,8,,"CSL_R7, CSL_R8",Radar Readiness,2990,,0
CSLSPY-93874,SUMMARY REDACTED,In Progress,CSL_SPY,16,8,,"CSL_R7, CSL_R8, CSL_R8_InCapacity",Radar Readiness,2990,Product,1
CSLSPY-94598,SUMMARY REDACTED,Open,CSL_SPY,8,8,,CSL_R7,Radar Readiness,2990,Team,2
CSLSPY-96136,SUMMARY REDACTED,Open,CSL_SPY,8,8,,"CSL_R8, CSL_R8_InCapacity",Radar Readiness,2990,Team,2
CSLPRE-50,SUMMARY REDACTED,Open,CSLP_Radar Enhancements,53,79,,"CSL_R7, CSL_R8",SBNCTR,2986,,0
CSLSPY-89428,SUMMARY REDACTED,Open,CSL_SPY,26,30,,"CSL_R7, CSL_R7_InCapacity, CSL_R8, CSL_R8_InCapacity",SBNCTR,2986,Product,1
CSLSPY-91438,SUMMARY REDACTED,Open,CSL_SPY,10,10,,"CSL_R7, CSL_R7_OutOfCapacity, CSL_R8, CSL_R8_InCapacity",SBNCTR,2986,Team,2
CSLSPY-96163,SUMMARY REDACTED,Open,CSL_SPY,10,10,,"CSL_R8, CSL_R8_InCapacity",SBNCTR,2986,Team,2
CSLSPY-92017,SUMMARY REDACTED,Open,CSL_SPY,6,6,,"CSL_R7, CSL_R7_InCapacity",SBNCTR,1751,Team,2
CSLOASIS-12721,SUMMARY REDACTED,Open,CSL_OASIS,14,32,,"CSL_R7, CSL_R7_InCapacity, CSL_R8",SBNCTR,2986,Product,1
CSLOASIS-13380,SUMMARY REDACTED,Open,CSL_OASIS,14,10,,"CSL_R7, CSL_R7_InCapacity",SBNCTR,1751,Team,2
CSLCND-49633,SUMMARY REDACTED,Open,CSL_CND,0,,,"CSL_R6_InCapacity, CSL_R6, CSL_R7, CSL_R7_InCapacity, CSL_R8",SBNCTR,1751,Product,1
AFMSCSLCND-3012,SUMMARY REDACTED,Closed,AFMS_CSL_CND,7,10,,"CSL_R7, AAW Classifier Demo, CSL_R7_InCapacity",SBNCTR,1751,,1
AFMSCSLSPY-4532,SUMMARY REDACTED,Open,AFMS_CSL_SPY,6,6,,"CSL_R7, CSL_R7_InCapacity",SBNCTR,1751,,1
CSLPRE-115,SUMMARY REDACTED,Open,CSLP_Radar Enhancements,149,90,,CSL_R8,SBNCTR,2985,,0
CSLCND-53830,SUMMARY REDACTED,Open,CSL_CND,3,3,,"CSL_R8, CSL_R8_InCapacity",SBNCTR,2985,Product,1
CSLSPY-94568,SUMMARY REDACTED,Open,CSL_SPY,146,80,,"CSL_R8, CSL_R8_OutOfCapacity",SBNCTR,2985,Product,1
CSLSPY-96185,SUMMARY REDACTED,Open,CSL_SPY,56,56,,"CSL_R8, CSL_R8_InCapacity",SBNCTR,2985,Team,2
CSLSPY-96227,SUMMARY REDACTED,Open,CSL_SPY,10,10,,"CSL_R8, CSL_R8_InCapacity",SBNCTR,2985,Team,2
CSLSPY-96574,SUMMARY REDACTED,Open,CSL_SPY,26,26,,"CSL_R8, CSL_R8_InCapacity",SBNCTR,2985,Team,2
CSLSPY-96780,SUMMARY REDACTED,Open,CSL_SPY,54,54,,"CSL_R8, CSL_R8_OutOfCapacity",SBNCTR,2985,Team,2
CSLPFMS-21,SUMMARY REDACTED,Open,CSLP_LegacyFMS,177.5,0,,CSL_R8,AWD,2971,,0
ORTS-36871,SUMMARY REDACTED,Open,CSL_ORTS,25,22,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Product,1
ORTS-38376,SUMMARY REDACTED,Open,CSL_ORTS,25,25,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Team,2
CSLSPY-94739,SUMMARY REDACTED,Open,CSL_SPY,58,58,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Product,1
CSLSPY-96962,SUMMARY REDACTED,Open,CSL_SPY,58,58,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Team,2
CSLCND-53827,SUMMARY REDACTED,Open,CSL_CND,10,10,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Product,1
CSLADS-55669,SUMMARY REDACTED,Open,CSL_ADS,10,10,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Product,1
CSLADS-56376,SUMMARY REDACTED,Open,CSL_ADS,10,10,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Team,2
CSLACI-40348,SUMMARY REDACTED,Open,CSL_ACI,5,5,,"CSL_R8, CSL_R8_OutOfCapacity",AWD,2971,Product,1
CSLWCS-42778,SUMMARY REDACTED,Open,CSL_WCS,59.5,10,,"CSL_R8, CSL_R8_InCapacity",AWD,2971,Product,1
CSLWCS-43510,SUMMARY REDACTED,Open,CSL_WCS,59.5,59.5,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,2447,Team,2
CSLCND-55258,SUMMARY REDACTED,Open,CSL_CND,10,10,,"CSL_R8, CSL_R8_InCapacity",AWD,,Team,1